f,algorithm_name,seed,best_y,best_y_among_all,worst_y_among_all,algorithm_rank,budget
10_70,DE,550.0,446.23069418645326,11.498900551991177,857.6134217366,1.0,10
10_70,ES,550.0,14.921468870389482,11.498900551991177,857.6134217366,0.0,10
10_70,GA,550.0,160.62705038425412,11.498900551991177,857.6134217366,0.28457475380443686,10
10_70,PSO,550.0,108.58901462913289,11.498900551991177,857.6134217366,0.1075836247881747,10
10_71,DE,550.0,510.58314163662527,-37.425751406278934,617.2765401311401,1.0,10
10_71,ES,550.0,-35.602186612060095,-37.425751406278934,617.2765401311401,0.0,10
10_71,GA,550.0,201.3816874795108,-37.425751406278934,617.2765401311401,0.32923666085224307,10
10_71,PSO,550.0,-4.661123368683345,-37.425751406278934,617.2765401311401,0.02424790772486129,10
10_72,DE,550.0,347.5427971131897,58.35398057196031,1432.9159565690943,0.3443434615794084,10
10_72,ES,550.0,61.640749807983354,58.35398057196031,1432.9159565690943,0.0,10
10_72,GA,550.0,249.2702339210283,58.35398057196031,1432.9159565690943,0.19724982868891658,10
10_72,PSO,550.0,462.9191723085885,58.35398057196031,1432.9159565690943,0.6009151958689675,10
10_73,DE,550.0,834.2129957140364,49.57451322973667,1661.9233225564608,0.3641557700465339,10
10_73,ES,550.0,50.923671376859254,49.57451322973667,1661.9233225564608,0.0,10
10_73,GA,550.0,629.2258304951067,49.57451322973667,1661.9233225564608,0.4824228240267342,10
10_73,PSO,550.0,312.3467798967773,49.57451322973667,1661.9233225564608,0.15388667981966747,10
10_74,DE,550.0,1481.7470312861878,1029.4150310185807,1726.3655933412542,1.0,10
10_74,ES,550.0,1037.1946127522929,1029.4150310185807,1726.3655933412542,0.0,10
10_74,GA,550.0,1212.9832400977762,1029.4150310185807,1726.3655933412542,0.358928389416857,10
10_74,PSO,550.0,1084.7009330860665,1029.4150310185807,1726.3655933412542,0.2169563011626867,10
10_75,DE,550.0,1145.8323400902448,-24.641156845719767,1395.2918899291894,1.0,10
10_75,ES,550.0,-2.4420943945512157,-24.641156845719767,1395.2918899291894,0.0,10
10_75,GA,550.0,299.69806370281475,-24.641156845719767,1395.2918899291894,0.1323738955539244,10
10_75,PSO,550.0,9.727731618451006,-24.641156845719767,1395.2918899291894,0.013694189588406737,10
10_76,DE,550.0,617.6595988276263,-40.54858440644966,1270.4929376911123,1.0,10
10_76,ES,550.0,-40.02947239079114,-40.54858440644966,1270.4929376911123,0.0,10
10_76,GA,550.0,200.562457108145,-40.54858440644966,1270.4929376911123,0.5175103609651808,10
10_76,PSO,550.0,2.141403405433911,-40.54858440644966,1270.4929376911123,0.040028359587492277,10
10_77,DE,550.0,206.9745847462534,-5.943059563164364,2211.847958567113,0.4673384733683591,10
10_77,ES,550.0,0.22202743204277198,-5.943059563164364,2211.847958567113,0.0,10
10_77,GA,550.0,2207.5663022159047,-5.943059563164364,2211.847958567113,0.9905367068356001,10
10_77,PSO,550.0,231.8619374885376,-5.943059563164364,2211.847958567113,0.5519515550814963,10
10_78,DE,550.0,1868.6498857606402,1017.217801143443,2553.9394285306835,1.0,10
10_78,ES,550.0,1030.4887997169299,1017.217801143443,2553.9394285306835,0.0,10
